"sample_id" "condition" "gene_name" "gene_usage_count"
"30B_S14" "B" "IGHV3-30" 955
"30B_S14" "B" "IGHV3-30-3" 470
"30B_S14" "B" "IGHV3-33" 429
"30B_S14" "B" "IGHV3-43" 32
"30B_S14" "B" "IGHV3-43D" 75
"30B_S14" "B" "IGHV3-48" 528
"30B_S14" "B" "IGHV3-49" 73
"30B_S14" "B" "IGHV3-52" 10
"30B_S14" "B" "IGHV3-53" 69
"30B_S14" "B" "IGHV3-64" 13
"30B_S14" "B" "IGHV3-64D" 11
"30B_S14" "B" "IGHV3-66" 69
"30B_S14" "B" "IGHV3-69-1" 2
"30B_S14" "B" "IGHV3-7" 433
"30B_S14" "B" "IGHV3-72" 42
"30B_S14" "B" "IGHV3-73" 86
"30B_S14" "B" "IGHV3-74" 359
"30B_S14" "B" "IGHV3-9" 1
"30B_S14" "B" "IGHV3-NL1" 7
"30B_S14" "B" "IGHV4-28" 4
"30B_S14" "B" "IGHV4-30-2" 58
"30B_S14" "B" "IGHV4-30-4" 193
"30B_S14" "B" "IGHV4-31" 160
"30B_S14" "B" "IGHV4-34" 554
"30B_S14" "B" "IGHV4-38-2" 327
"30B_S14" "B" "IGHV4-39" 548
"30B_S14" "B" "IGHV4-4" 196
"30B_S14" "B" "IGHV4-59" 540
"30B_S14" "B" "IGHV4-61" 410
"30B_S14" "B" "IGHV4/OR15-8" 1
"30B_S14" "B" "IGHV5-10-1" 160
"30B_S14" "B" "IGHV5-51" 218
"30B_S14" "B" "IGHV6-1" 59
"30B_S14" "B" "IGHV7-4-1" 6
"3N_S17" "N" "IGHV1-18" 93
"3N_S17" "N" "IGHV1-2" 98
"3N_S17" "N" "IGHV1-24" 50
"3N_S17" "N" "IGHV1-3" 163
"3N_S17" "N" "IGHV1-46" 189
"3N_S17" "N" "IGHV1-69" 109
"3N_S17" "N" "IGHV1-8" 59
"3N_S17" "N" "IGHV2-26" 1
"3N_S17" "N" "IGHV2-5" 8
"3N_S17" "N" "IGHV2-70" 2
"3N_S17" "N" "IGHV3-11" 192
"3N_S17" "N" "IGHV3-13" 3
"3N_S17" "N" "IGHV3-15" 243
"3N_S17" "N" "IGHV3-20" 3
"3N_S17" "N" "IGHV3-21" 387
"3N_S17" "N" "IGHV3-23" 926
"3N_S17" "N" "IGHV3-30" 438
"3N_S17" "N" "IGHV3-30-3" 1
"3N_S17" "N" "IGHV3-33" 454
"3N_S17" "N" "IGHV3-48" 304
"3N_S17" "N" "IGHV3-49" 1
"3N_S17" "N" "IGHV3-53" 216
"3N_S17" "N" "IGHV3-64D" 2
"3N_S17" "N" "IGHV3-66" 22
"3N_S17" "N" "IGHV3-7" 300
"3N_S17" "N" "IGHV3-72" 14
"3N_S17" "N" "IGHV3-73" 81
"3N_S17" "N" "IGHV3-74" 26
"3N_S17" "N" "IGHV3-9" 365
"3N_S17" "N" "IGHV3-NL1" 4
"3N_S17" "N" "IGHV4-30-2" 3
"3N_S17" "N" "IGHV4-31" 30
"3N_S17" "N" "IGHV4-34" 113
"3N_S17" "N" "IGHV4-38-2" 4
"3N_S17" "N" "IGHV4-39" 197
"3N_S17" "N" "IGHV4-4" 6
