"sample_id" "condition" "gene_name" "gene_usage_count"
"MS11" "MS" "TRBV23-1" 47.9999999999839
"MS12" "MS" "TRBV23-1" 139.999999999922
"MS13" "MS" "TRBV23-1" 66.999999999954
"MS2" "MS" "TRBV23-1" 77.9999999999403
"MS3" "MS" "TRBV23-1" 49.9999999999798
"MS4" "MS" "TRBV23-1" 73.9999999999308
"MS5" "MS" "TRBV23-1" 58.9999999999731
"MS6" "MS" "TRBV23-1" 64.9999999999751
"MS7" "MS" "TRBV23-1" 127.999999999962
"MS8" "MS" "TRBV23-1" 83.999999999976
"MS9" "MS" "TRBV23-1" 80.9999999999658
"C1" "C" "TRBV24-1" 6977.99999999871
"C10" "C" "TRBV24-1" 1157.99999999908
"C11" "C" "TRBV24-1" 3642.99999999892
"C2" "C" "TRBV24-1" 4136.99999999891
"C3" "C" "TRBV24-1" 11571.9999999985
"C4" "C" "TRBV24-1" 6805.99999999879
"C5" "C" "TRBV24-1" 7861.99999999858
"C6" "C" "TRBV24-1" 5533.99999999857
"C7" "C" "TRBV24-1" 4776.99999999916
"C8" "C" "TRBV24-1" 3904.99999999899
"C9" "C" "TRBV24-1" 8568.99999999881
"MS1" "MS" "TRBV24-1" 3527.99999999854
"MS10" "MS" "TRBV24-1" 7448.99999999853
"MS11" "MS" "TRBV24-1" 1617.99999999946
"MS12" "MS" "TRBV24-1" 2515.99999999859
"MS13" "MS" "TRBV24-1" 2500.99999999828
"MS2" "MS" "TRBV24-1" 1110.99999999915
"MS3" "MS" "TRBV24-1" 2451.99999999901
"MS4" "MS" "TRBV24-1" 1507.99999999859
"MS5" "MS" "TRBV24-1" 2741.99999999875
"MS6" "MS" "TRBV24-1" 3875.99999999852
"MS7" "MS" "TRBV24-1" 4407.99999999869
"MS8" "MS" "TRBV24-1" 6247.99999999821
"MS9" "MS" "TRBV24-1" 2824.99999999881
"C1" "C" "TRBV25-1" 5296.99999999902
"C10" "C" "TRBV25-1" 2592.99999999793
"C11" "C" "TRBV25-1" 6260.99999999814
"C2" "C" "TRBV25-1" 4979.99999999869
"C3" "C" "TRBV25-1" 7805.99999999898
"C4" "C" "TRBV25-1" 6098.99999999892
"C5" "C" "TRBV25-1" 5948.99999999892
"C6" "C" "TRBV25-1" 4077.99999999894
"C7" "C" "TRBV25-1" 7944.99999999861
"C8" "C" "TRBV25-1" 6204.99999999839
"C9" "C" "TRBV25-1" 10507.9999999985
"MS1" "MS" "TRBV25-1" 2474.99999999897
"MS10" "MS" "TRBV25-1" 4287.99999999916
"MS11" "MS" "TRBV25-1" 3445.99999999884
"MS12" "MS" "TRBV25-1" 2479.99999999861
"MS13" "MS" "TRBV25-1" 1669.99999999885
"MS2" "MS" "TRBV25-1" 1240.99999999905
"MS3" "MS" "TRBV25-1" 2672.99999999892
"MS4" "MS" "TRBV25-1" 1119.99999999895
"MS5" "MS" "TRBV25-1" 1804.99999999918
"MS6" "MS" "TRBV25-1" 2013.99999999923
"MS7" "MS" "TRBV25-1" 3102.99999999907
"MS8" "MS" "TRBV25-1" 3308.99999999905
"MS9" "MS" "TRBV25-1" 2064.99999999913
"C1" "C" "TRBV27" 16341.999999997
"C10" "C" "TRBV27" 6339.99999999494
"C11" "C" "TRBV27" 13952.9999999959
"C2" "C" "TRBV27" 14830.9999999961
"C3" "C" "TRBV27" 26541.9999999965
"C4" "C" "TRBV27" 20844.9999999963
"C5" "C" "TRBV27" 17365.9999999969
"C6" "C" "TRBV27" 15390.999999996
"C7" "C" "TRBV27" 22531.9999999961
"C8" "C" "TRBV27" 15281.999999996
"C9" "C" "TRBV27" 35371.9999999951
"MS1" "MS" "TRBV27" 8903.9999999963
"MS10" "MS" "TRBV27" 17025.9999999966
"MS11" "MS" "TRBV27" 7158.9999999976
"MS12" "MS" "TRBV27" 3914.99999999781
"MS13" "MS" "TRBV27" 4135.99999999716
"MS2" "MS" "TRBV27" 3269.9999999975
"MS3" "MS" "TRBV27" 6036.99999999756
"MS4" "MS" "TRBV27" 4061.9999999962
"MS5" "MS" "TRBV27" 6296.99999999713
"MS6" "MS" "TRBV27" 6550.99999999749
"MS7" "MS" "TRBV27" 7799.99999999767
"MS8" "MS" "TRBV27" 13087.9999999963
"MS9" "MS" "TRBV27" 7295.99999999692
"C1" "C" "TRBV28" 25523.9999999953
"C10" "C" "TRBV28" 3824.99999999695
"C11" "C" "TRBV28" 10565.9999999969
"C2" "C" "TRBV28" 7071.99999999815
"C3" "C" "TRBV28" 43439.9999999943
"C4" "C" "TRBV28" 42586.9999999925
"C5" "C" "TRBV28" 31460.9999999943
"C6" "C" "TRBV28" 30392.9999999921
