"sample_id" "condition" "gene_name" "gene_usage_count"
"HD7" "healthy" "IGHV5-51" 139
"HD7" "healthy" "IGHV4-28" 0
"HD7" "healthy" "IGHV1/OR15-4" 1
"HD7" "healthy" "IGHV1-68" 0
"HD7" "healthy" "IGHV3-19" 2
"HD7" "healthy" "IGHV7-4-1" 0
"HD7" "healthy" "IGHV1-24" 27
"HD7" "healthy" "IGHV3-69-1" 7
"HD7" "healthy" "IGHV7-81" 0
"HD7" "healthy" "IGHV4-34" 107
"HD7" "healthy" "IGHV3-52" 3
"HD7" "healthy" "IGHV3-11" 158
"HD7" "healthy" "IGHV3-53" 103
"HD7" "healthy" "IGHV1-46" 61
"HD7" "healthy" "IGHV3-13" 49
"HD7" "healthy" "IGHV3-30" 240
"HD7" "healthy" "IGHV3-15" 243
"HD7" "healthy" "IGHV3-47" 0
"HD7" "healthy" "IGHV1-2" 251
"HD7" "healthy" "IGHV1-69" 137
"HD7" "healthy" "IGHV3-20" 20
"HD7" "healthy" "IGHV3-9" 161
"HD7" "healthy" "IGHV3-35" 0
"HD7" "healthy" "IGHV3-7" 474
"HD7" "healthy" "IGHV3-64" 13
"HD7" "healthy" "IGHV4-38-2" 58
"HD7" "healthy" "IGHV3-71" 0
"HD7" "healthy" "IGHV4-55" 0
"HD7" "healthy" "IGHV3-NL1" 0
"HD7" "healthy" "IGHV3-72" 81
"HD7" "healthy" "IGHV3-73" 28
"HD7" "healthy" "IGHV1-69-2" 0
"HD7" "healthy" "IGHV3-30-3" 79
"HD7" "healthy" "IGHV3-66" 58
"HD7" "healthy" "IGHV4-59" 214
"HD7" "healthy" "IGHV3/OR16-10" 0
"HD7" "healthy" "IGHV1-58" 7
"HD7" "healthy" "IGHV4/OR15-8" 0
"HD7" "healthy" "IGHV4-4" 124
"HD7" "healthy" "IGHV4-61" 215
"HD7" "healthy" "IGHV3/OR16-8" 0
"HD7" "healthy" "IGHV3-38" 0
"HD7" "healthy" "IGHV3-64D" 0
"HD7" "healthy" "IGHV3-74" 261
"HD7" "healthy" "IGHV4-39" 121
"Pt1" "hcv" "IGHV3-19" 1
"Pt1" "hcv" "IGHV2-70D" 16
"Pt1" "hcv" "IGHV3-30" 487
"Pt1" "hcv" "IGHV3-69-1" 5
"Pt1" "hcv" "IGHV3-30-3" 238
"Pt1" "hcv" "IGHV3-47" 0
"Pt1" "hcv" "IGHV1-8" 0
"Pt1" "hcv" "IGHV1-69-2" 1
"Pt1" "hcv" "IGHV3-20" 16
"Pt1" "hcv" "IGHV3-38" 0
"Pt1" "hcv" "IGHV3-64" 39
